"","MonthYear","month","Year","Global_reactive_power","Global_active_power_kwh","Voltage","Global_intensity","kitchen_kwh","laundry_kwh","waterheat_aircond_kwh","Other_kwh"
"1","1 - 2007",1,2007,5922.396,1150.1977,240.905101259017,6.54691518437206,56.433,79.274,329.578,684.9127
"2","2 - 2007",2,2007,4581.608,941.481433333333,240.519390346743,5.91456917505829,47.584,64.604,270.274,559.019433333333
"3","3 - 2007",3,2007,5122.184,981.036533333333,240.513469163736,5.57297878536706,60.769,104.762,290.361,525.144533333333
"4","4 - 2007",4,2007,4688.994,586.357766666667,239.400026091142,3.82567570990703,42.078,38.417,189.503,316.359766666667
"5","5 - 2007",5,2007,5148.894,733.4812,235.178363799283,4.29746415770609,75.737,72.132,229.448,356.1642
"6","6 - 2007",6,2007,6317.98,594.7138,238.875530041476,3.60354982969159,59.672,69.939,188.851,276.2518
"7","7 - 2007",7,2007,5674.062,495.063833333333,237.671247388169,2.94413264732975,43.052,55.733,154.815,241.463833333333
"8","8 - 2007",8,2007,5033.644,568.274333333333,237.937241472052,3.31266753328253,36.251,49.711,225.442,256.870333333333
"9","9 - 2007",9,2007,5443.416,697.876766666667,239.424107597574,4.17460993564517,52.841,75.277,226.375,343.383766666667
"10","10 - 2007",10,2007,4171.17,821.272833333333,239.725825753842,4.67717639679197,43.218,87.914,256.08,434.060833333333
"11","11 - 2007",11,2007,4170.904,931.9774,240.86926200287,5.44594194175656,50.823,73.666,299.69,507.7984
"12","12 - 2007",12,2007,4950.484,1210.0695,241.725762897914,6.81955688971527,74.09,82.931,362.423,690.6255
"13","1 - 2008",1,2008,3908.238,1086.15636666667,240.646329442864,6.18171554022268,61.761,62.911,312.175,649.309366666667
"14","2 - 2008",2,2008,3639.688,822.184533333333,240.60296381445,4.97426060301267,40.192,56.646,255.918,469.428533333333
"15","3 - 2008",3,2008,4531.466,926.5099,241.32537534443,5.23483052935774,63.11,79.277,279.67,504.4529
"16","4 - 2008",4,2008,5361.76,803.499866666667,241.221191203704,4.69706018518518,47.08,70.871,295.678,389.870866666667
"17","5 - 2008",5,2008,6896.588,762.031,240.367918589543,4.38409426945652,53.084,58.907,290.62,359.42
"18","6 - 2008",6,2008,6550.438,715.732866666667,238.975187851571,4.30146531169703,68.728,63.449,290.103,293.452866666667
"19","7 - 2008",7,2008,6551.446,591.2903,239.770826201891,3.46368116851113,47.313,44.416,227.228,272.3333
"20","8 - 2008",8,2008,5705.046,205.698,240.433051660021,1.26356915632421,3.873,22.264,79.665,99.896
"21","9 - 2008",9,2008,5399.154,711.129866666667,240.124580787037,4.21234722222222,52.376,44.59,284.282,329.881866666667
"22","10 - 2008",10,2008,4712.902,844.941,240.329369240083,4.79769939682041,44.093,63.228,275.887,461.733
"23","11 - 2008",11,2008,4377.654,998.479333333333,240.586887777546,5.86489777963002,58.067,55.887,280.615,603.910333333333
"24","12 - 2008",12,2008,4070.958,947.231866666667,243.083941304494,5.30488904844174,45.107,39.459,307.346,555.319866666667
"25","1 - 2009",1,2009,4396.526,1049.1668,243.793215797845,5.86707139496853,74.651,72.952,329.606,571.9578
"26","2 - 2009",2,2009,3858.294,837.034833333333,242.399008594992,5.20032293322735,47.098,50.684,296.166,443.086833333333
"27","3 - 2009",3,2009,4657.394,912.649766666667,242.303637931807,5.1489762086115,64.645,48.427,328.697,470.880766666667
"28","4 - 2009",4,2009,5314.588,821.258733333333,241.633263345525,4.81653780267605,54.506,52.601,307.84,406.311733333333
"29","5 - 2009",5,2009,5337.736,753.497166666667,240.118792454521,4.30021059234698,43.57,50.099,311.048,348.780166666667
"30","6 - 2009",6,2009,5429.5,559.033,241.042472740945,3.60777541045244,31.362,29.801,259.969,237.901
"31","7 - 2009",7,2009,7487.97,459.840733333333,242.017859351196,2.7102876601846,18.226,42.528,187.936,211.150733333333
"32","8 - 2009",8,2009,8243.432,484.606733333333,241.269761823127,2.93473679398386,34.023,38.217,192.064,220.302733333333
"33","9 - 2009",9,2009,6648.062,710.476066666667,241.146457392875,4.21272773572239,51.602,46.144,296.547,316.183066666667
"34","10 - 2009",10,2009,5866.398,851.478666666667,240.894133829163,4.81872353771366,54.728,53.729,327.505,415.516666666667
"35","11 - 2009",11,2009,5473.938,917.794033333333,241.946596680479,5.33394291534526,60.445,53.473,335.529,468.347033333333
"36","12 - 2009",12,2009,5791.888,1015.08343333333,244.082419463238,5.66176800035844,57.801,53.49,383.909,519.883433333333
"37","1 - 2010",1,2010,5196.072,989.660966666667,243.455510130333,5.94567925028307,53.887,56.568,395.913,483.292966666667
"38","2 - 2010",2,2010,4130.218,924.528433333333,242.348111017412,5.71573986804901,49.268,53.59,411.714,409.956433333333
"39","3 - 2010",3,2010,5328.96,802.5983,241.993210991951,4.73012930326426,35.089,60.872,324.352,382.2853
"40","4 - 2010",4,2010,5393.432,739.6354,241.782798212922,4.3051922498206,38.196,36.476,336.091,328.8724
"41","5 - 2010",5,2010,5454.214,814.873333333333,240.369171352405,4.63086986715652,48.107,52.376,364.625,349.765333333333
"42","6 - 2010",6,2010,6484.718,698.0904,240.841860271309,4.16922542710311,65.747,47.675,306.934,277.7344
"43","7 - 2010",7,2010,7386.89,536.462533333333,240.54802997379,3.1308138623177,17.667,34.359,192.912,291.524533333333
"44","8 - 2010",8,2010,4782.076,368.389566666667,241.250381408029,2.5641364195221,12.499,26.983,160.189,168.718566666667
"45","9 - 2010",9,2010,4773.662,605.157066666667,241.205233516845,4.06702315412375,36.865,32.508,257.861,277.923066666667
"46","10 - 2010",10,2010,6140.416,865.549233333333,242.159310468424,4.88901185062389,48.199,60.22,315.669,441.461233333333
"47","NA - NA",NA,NA,12.81,2.1831,0.662701027753185,0.0213249162785327,0.209,0.14,0.648,1.1861
